Sample_ID,Mouse_ID,Timepoint,Genotype,Grouped.genotype,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54
HACKGx364W11,HACKGx364,W11,WT,WT,540,2437,7927,498,6,42,447,0,4296,57,882,292,4031,219,57,84,73,6624,4733,669,0,20,0,72,6245,973,179,497,191,0,997,695,2836,24,0,2,0,0,3,718,671,0,0,2128,256,11,41,0,6,1010,171,38,35,554
HACKGx367W11,HACKGx367,W11,HACK,HACK/G,12898,1323,1684,57,13,0,391,12,3727,18,820,68,1182,0,9,56,60,412,2412,4490,0,31,2,50,1803,1683,187,60,872,0,784,1413,1346,0,0,62,0,15,0,313,596,0,0,558,0,8,0,0,254,1465,280,13465,59,324
HACKGx389W11,HACKGx389,W11,WT,WT,18937,851,3220,489,0,17,180,0,2596,138,1363,141,1130,20,43,30,30,1186,2434,45120,0,33,0,38,2538,2289,547,117,1000,0,583,168,3525,14,0,0,0,28,13,381,10746,1279,21,817,82,11,30,0,2220,1774,495,61,9,116
HACKGx395W11,HACKGx395,W11,WT,WT,120,1626,13151,791,26,35,353,102,12397,61,1091,319,4703,88,44,89,78,4819,3701,15701,0,53,3,67,61,8015,147,29,183,9,1416,2054,456,24,0,0,0,208,0,409,1357,0,0,2269,92,32,41,32,594,2847,275,57,28,40
HACKGx396W11,HACKGx396,W11,WT,WT,83,1608,15045,1012,15,69,397,0,4939,85,3438,556,9464,121,49,427,53,8313,8038,6816,5,51,77,43,259,2318,344,102,448,6,6727,990,789,37,58,0,0,9,0,1196,999,0,0,3149,274,36,67,24,212,2157,733,39,22,872
HACKGx417W11,HACKGx417,W11,HACKG,HACK/G,37,3318,6730,312,99,75,413,213,5381,114,3028,239,2545,23,52,186,37,1156,5280,8660,3,24,142,107,1659,2151,140,43,296,0,2700,2371,1190,35,48,0,0,0,0,639,1643,0,0,1690,18,25,27,12,0,1834,515,7852,88,883
HACKGx419W11,HACKGx419,W11,WT,WT,67,2126,6664,956,29,83,380,6,8586,123,1291,363,10116,197,13,46,83,4870,5327,7329,0,73,56,55,2971,2067,348,33,299,15,2177,1275,5189,43,59,0,0,5,0,1057,1195,0,0,1908,136,30,73,30,87,1535,586,221,52,600
ACKGx339W15,ACKGx339,W15,ACK,ACK/G,7235,2071,4902,116,0,25,214,112,4932,77,1462,198,1300,61,10,8,53,1865,2392,7129,4,26,0,88,1568,2890,206,39,180,5,1043,2585,3768,0,0,0,10,42,13,156,812,425,9,1060,26,0,25,0,112,970,105,1785,16,602
ACKGx348W15,ACKGx348,W15,ACK,ACK/G,1163,752,6826,259,0,33,290,74,3672,31,2739,272,1423,46,54,0,19,2845,4533,14405,0,19,0,78,1106,3502,166,68,336,0,1706,1404,976,0,0,35,0,127,0,455,669,90,39,1425,60,0,11,0,266,940,328,23,19,632
ACKGx382W15,ACKGx382,W15,ACKG,ACK/G,3004,581,286,14,0,5,22,289,2668,0,182,44,71,0,5,5,11,86,296,8121,0,15,0,17,460,1232,596,0,38,0,143,816,57,0,0,3,11,182,0,49,1996,0,0,55,0,0,0,0,372,657,24,7825,76,23
